Urls,Co,NB,NN,RF,SV,domain
www.frontiersin.org/articles/10.3389/fmars.2017.00059,0.392137147,4,3.958351521,3.88,4,www.frontiersin.org
www.mdpi.com/rss/journal/geosciences,0.613926787,4,1.920045509,3.44,1,www.mdpi.com
academic.oup.com/icesjms/article/70/6/1220/635452,0.355275654,1.087992863,1.003264761,3.41,2.5,academic.oup.com
academic.oup.com/icesjms/article/71/4/867/666460,0.349715407,4,2.000097314,3.38,1,academic.oup.com
www.wmo.int/pages/prog/amp/mmop/documents/dbcp/Dbcp30/Abstracts.html,0.431082048,2.999966076,2.67842213,3.37,3,www.wmo.int
academic.oup.com/icesjms/article/72/3/1057/690224,0.433139731,4,3.000889472,3.27,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2018.00066,0.414795985,4,2.911641806,3.25,2.5,www.frontiersin.org
www.frontiersin.org/articles/10.3389/fmars.2017.00277,0.463788795,2.72089241,2.418324093,3.22,2.5,www.frontiersin.org
academic.oup.com/icesjms/article/72/5/1399/765328,0.358900628,1.000019745,3.77342953,3.21,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2017.00295,0.351656631,2.401732506,3.222142354,3.2,3,www.frontiersin.org
www.wmo.int/pages/prog/www/OSY/Reports/ET-AWS-6_Geneva_2010_REV.doc,0.543729827,4,3.855364672,3.18,1,www.wmo.int
www.wmo.int/pages/prog/amp/mmop/glossary.html,0.400933612,4,3.953899264,3.17,4,www.wmo.int
www.wmo.int/pages/prog/www/tcp/linkedfiles/TCC-22_TechnicalPlan_DRAFT_Sych_Cmr_Mlwi_MRU_MADA_Btswn_Swzlnd_SA_TNZ_AsOf12September.docx,0.458244854,4,3.01300429,3.17,4,www.wmo.int
academic.oup.com/icesjms/article/72/4/1201/801387,0.351874126,4,3.989703321,3.16,4,academic.oup.com
academic.oup.com/icesjms/article/72/3/863/698697,0.438430951,2.99937791,1.176397064,3.16,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2016.00283,0.47888049,4,1.728141031,3.15,2.5,www.frontiersin.org
www.jamstec.go.jp/e/about/organization,0.277742357,3.999999744,2.834079725,3.15,3,www.jamstec.go.jp
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-RM-1/INF_5_Guide_to_GOS_488-Ed-2010-Update-2013_en_IZ.docx,0.533228639,4,3,3.14,2.5,www.wmo.int
www.wmo.int/pages/prog/www/DPFS/Meetings/ICT-DPFS_Geneva2018/documents/Doc-9_Manual_on_GDPFS-rev.doc,0.31984012,1.000237132,3.286980304,3.13,4,www.wmo.int
academic.oup.com/icesjms/article/71/1/118/641481,0.300891532,0.804978301,3.75729361,3.13,4,academic.oup.com
academic.oup.com/icesjms/article/72/5/1610/755146,0.335029697,2.96432549,3.280182704,3.13,3.5,academic.oup.com
www.wmo.int/pages/prog/www/ISS/Meetings/IPET-DRC_Geneva2009/Report/Report_IPETDRC-I_Geneva2009.doc,0.574240633,4,3.046827608,3.12,1,www.wmo.int
academic.oup.com/icesjms/article/69/1/89/671867,0.428826051,1,2.867685193,3.11,2.5,academic.oup.com
www.jamstec.go.jp/e/about/research,0.277972293,3.994160194,2.754572793,3.1,3,www.jamstec.go.jp
eurogoos.eu/news,0.318759291,2.009820657,3.958781994,3.1,3.5,eurogoos.eu
academic.oup.com/icesjms/article/75/1/210/4091481,0.406283505,1.999945655,3.452289573,3.1,4,academic.oup.com
www.wmo.int/pages/prog/amp/mmop/mmroa_reports.html,0.331292175,1.99208236,3.396500994,3.1,4,www.wmo.int
academic.oup.com/icesjms/article/64/4/768/639621,0.377127341,2.065214724,1.307819354,3.09,4,academic.oup.com
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS8/documents/ICT-IOS8-Doc-6.7-R-MAR.doc,0.430070988,4,3.997399343,3.08,4,www.wmo.int
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS7/documents/ICT-IOS-7-Doc.4.3_Marine-Obs.doc,0.434909921,3,3.285345041,3.08,2.5,www.wmo.int
academic.oup.com/icesjms/article/69/2/240/702914,0.426942768,1,1.899388325,3.08,2.5,academic.oup.com
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-RM-1/INF_6_1160_en_final_clean.docx,0.494348768,4,2.949418905,3.08,2.5,www.wmo.int
www.wmo.int/pages/prog/www/tcp/documents/hc-36_d07.1_meteo.doc,0.419424592,2.000014114,2.944966824,3.07,4,www.wmo.int
www.wmo.int/pages/prog/www/WDM/reports/RA5-PIW-3.html,0.414509568,3.017164483,2.602602277,3.07,4,www.wmo.int
eurogoos.eu/category/archive/page/10,0.408038448,1.96093763,3.022904273,3.07,3,eurogoos.eu
academic.oup.com/icesjms/article/70/6/1273/637166,0.342792796,1.995580076,3.083835757,3.05,4,academic.oup.com
academic.oup.com/icesjms/article/69/9/1646/640360,0.312071208,1.999999997,3.489253787,3.05,4,academic.oup.com
eurogoos.eu/projects,0.423678068,1.069512305,2.365626561,3.05,3,eurogoos.eu
academic.oup.com/icesjms/article/74/1/406/2444580,0.336631306,1.999999994,3.651334008,3.04,3.5,academic.oup.com
academic.oup.com/conphys/article/4/1/cow060/2660838,0.517399998,2.000029154,2.458557594,3.03,2.5,academic.oup.com
eurogoos.eu/category/archive/page/2,0.407345418,1.006481665,3.130716293,3.02,3,eurogoos.eu
www.frontiersin.org/articles/10.3389/fmars.2017.00422,0.387892621,3.90599765,2.605089459,3.02,3,www.frontiersin.org
www.wmo.int/pages/prog/www/WIGOS-WIS/reports/ICG-WIGOS-2_Final-Report_Geneva_2013.doc,0.509201269,4,3.001495776,3.01,4,www.wmo.int
www.wmo.int/pages/prog/www/ISS/Meetings/RAV_PIW_Hawaii2009/Report-RAV-WG-PIW-Dec2009.doc,0.525300387,3.999995472,2.796978665,3.01,4,www.wmo.int
eurogoos.eu/animal-borne-instruments,0.433069036,1.916716294,2.488954195,3.01,3,eurogoos.eu
www.jamstec.go.jp/maritec/e/ships/observation,0.344501551,1,2.24677538,3.01,4,www.jamstec.go.jp
academic.oup.com/icesjms/article/64/1/18/648568,0.518544973,1,1.100906987,3.01,1,academic.oup.com
www.wmo.int/pages/prog/www/ISS/Meetings/ICM-MTN_ET-OI_Geneva2008/documents/WIS-ProjectPlan-v0-6.doc,0.439137468,4,2.989243591,3,4,www.wmo.int
academic.oup.com/icesjms/article/69/1/41/671474,0.426258148,2.980676432,3.98118667,2.99,2.5,academic.oup.com
eurogoos.eu/2017/04/04/engaging-industry-use-sharing-european-marine-data-new-guide-released,0.386070423,1.947278891,3.115007908,2.99,3,eurogoos.eu
www.wmo.int/pages/prog/arep/wwrp/new/wwosc/Presentations_wwosc_18082014.html,0.307777673,1.998519777,2.939080032,2.99,3,www.wmo.int
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-RM-1/INF_4_Manual_on_GOS_544_en.docx,0.421801349,4,2.769791703,2.99,1,www.wmo.int
eurogoos.eu/high-frequency-radar-task-team,0.440348017,1.527022593,2.050142192,2.99,3,eurogoos.eu
link.springer.com/article/10.1007/s00773-015-0355-9,0.323237413,1.831543024,3.792784731,2.98,4,link.springer.com
eurogoos.eu/2017/06/06/eurogoos-general-assembly-2017-main-highlights-2,0.410325903,1.665525722,2.616567986,2.98,3,eurogoos.eu
www.wmo.int/pages/prog/amp/mmop/documents/JCOMM-TR/J-TR-4-VOS-Framework-Document/JCOMM-TR-4-VOS-Framework-Document-REV2.doc,0.385752953,1.000000037,3.831575818,2.97,4,www.wmo.int
eurogoos.eu/columbus,0.443121717,1.722796925,2.712799037,2.97,3,eurogoos.eu
www.wmo.int/pages/prog/www/OSY/Reports/ICT-IOS6-Geneva2010.doc,0.457107786,4,3.014436249,2.96,4,www.wmo.int
eurogoos.eu/2014/04/11/joint-eurogoos-emodnet-workshop-emd2014-bremen,0.421575758,1.059467697,2.532639445,2.96,3,eurogoos.eu
www.wmo.int/pages/prog/www/OSY/Meetings/ET-EGOS_Geneva2007/Doc7-2-6.doc,0.426491558,4,3.982616325,2.96,2.5,www.wmo.int
academic.oup.com/icesjms/article/72/3/997/686282,0.464187629,4,3.060560244,2.96,4,academic.oup.com
eurogoos.eu/category/current/page/3,0.358414586,2.177330344,3.555296055,2.95,3,eurogoos.eu
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS6/Doc.4.4.doc,0.375610626,2,3.412307992,2.95,4,www.wmo.int
www.jamstec.go.jp/e/about/press_release/20080307,0.359794462,2.001888566,2.332785543,2.95,3,www.jamstec.go.jp
eurogoos.eu/4209-2,0.458869166,1.000000839,2.238173903,2.94,3,eurogoos.eu
academic.oup.com/icesjms/article/73/5/1386/2240665,0.286639103,2.000000006,3.350395249,2.93,3,academic.oup.com
www.wmo.int/pages/prog/www/OSY/Meetings/ET-EGOS_Geneva2011/documents/ET-EGOS-6-Doc-6.5-GCOS.doc,0.44439432,4,2.961602871,2.93,2.5,www.wmo.int
eurogoos.eu/careers/scientific-officer-at-eurogoos-secretariat,0.396862697,1.751205848,2.895621605,2.93,3,eurogoos.eu
eurogoos.eu/scientific-officer-at-eurogoos-secretariat,0.396862697,1.751205848,2.895621605,2.93,3,eurogoos.eu
www.frontiersin.org/articles/10.3389/fmars.2018.00005,0.474010505,3.999994064,1.600807532,2.93,2.5,www.frontiersin.org
link.springer.com/article/10.1007/s12237-012-9561-4/fulltext.html,0.369205279,0.999970009,1.008741775,2.93,0,link.springer.com
link.springer.com/article/10.1007/s12237-015-0041-5/fulltext.html,0.493972382,1.00000057,3.523261899,2.93,2.5,link.springer.com
www.jamstec.go.jp/e/database,0.389674804,1.000000786,2.508225316,2.93,3,www.jamstec.go.jp
www.jamstec.go.jp/j/about/press_release/20131206,0.335882553,1.97977035,2.107123753,2.93,3,www.jamstec.go.jp
www.jamstec.go.jp/e/about/press_release/20131021,0.574346001,2,1.615355339,2.93,1,www.jamstec.go.jp
www.fao.org/docrep/009/a0337e/A0337E05.htm,0.475461489,2.721086448,1.490948851,2.93,1,www.fao.org
academic.oup.com/icesjms/article/69/1/119/670723,0.471443267,1.00191286,3.0636362,2.92,4,academic.oup.com
www.wmo.int/pages/prog/www/WMOCodes/WMO306_vI2/LatestVERSION/WMO306_vI2_BUFRCREX_CodeFlag_en.docx,0.525192632,4,2.775983575,2.92,1,www.wmo.int
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/49_I_en_LCP_2017_IZ_v0.1_2017-11-23_for_EdBd.docx,0.425655698,4,3.000185612,2.91,4,www.wmo.int
eurogoos.eu/member-product/coriolis,0.43204938,1.606068292,2.412459783,2.91,3,eurogoos.eu
academic.oup.com/icesjms/article/67/1/1/595103,0.291481061,2.000039174,3.485643553,2.9,3.5,academic.oup.com
www.frontiersin.org/journals/655,0.343559587,1.999659025,3.118938539,2.9,3,www.frontiersin.org
www.frontiersin.org/journals/marine-science,0.343559587,1.999659025,3.118938539,2.9,3,www.frontiersin.org
www.wmo.int/pages/prog/www/tcp/linkedfiles/d.06.1.1_GOS_en.docx,0.357949827,2.000000182,2.737319214,2.9,4,www.wmo.int
eurogoos.eu/events/eoos-event-european-parliament,0.399542928,1.631652517,2.314114643,2.9,3,eurogoos.eu
www.frontiersin.org/articles/10.3389/fmicb.2018.00554,0.553205402,2.016319665,3.258385688,2.89,1,www.frontiersin.org
www.wmo.int/pages/prog/www/ISS/Meetings/IPET-DRC_Exeter2012/Report/Report_IPETDRC-IV_Exeter2012.doc,0.572749533,4,3.000035727,2.89,1,www.wmo.int
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/1160_en_2017_draft-v.03_2018-01-19_for_EdBd.docx,0.472667809,4,3.000003422,2.89,2.5,www.wmo.int
eurogoos.eu/data-management-exchange-quality-working-group-data-meq,0.434958836,1.000465269,2.400623388,2.89,3,eurogoos.eu
eurogoos.eu/increasing-eurogoos-awareness/working-groups/data-management-exchange-quality-working-group-data-meq,0.434958836,1.000465269,2.400623388,2.89,3,eurogoos.eu
www.fao.org/docrep/009/a0337e/A0337E03.htm,0.450471414,2.01797638,1.018369651,2.89,1,www.fao.org
link.springer.com/article/10.1007/s12237-010-9316-z,0.444446248,2.001413699,3.296417941,2.88,4,link.springer.com
link.springer.com/article/10.1007/s12237-017-0260-z,0.34507635,2,3.887884347,2.87,4,link.springer.com
www.wmo.int/pages/prog/www/IMOP/publications/IOM-104_TECO-2010/P5_18_Scott_UK.doc,0.326687808,3.000017874,3.074146477,2.86,3,www.wmo.int
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/544_en_2017_draft-transition_IZ_v0.7_2018-01-18_for_EdBd.docx,0.411306488,4,2.998327262,2.86,2.5,www.wmo.int
link.springer.com/article/10.1007/BF02803361,0.452267017,1.757270622,1.755880008,2.86,2,link.springer.com
www.wmo.int/pages/prog/sat/glossary_en.php,0.435302721,4,1.197038123,2.86,3,www.wmo.int
academic.oup.com/icesjms/article/74/1/398/2674180,0.320082831,2.004165295,3.854108137,2.85,3.5,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2018.00037,0.377777192,1.204792293,2.908026347,2.85,3,www.frontiersin.org
eurogoos.eu/member/portuguese-institute-ocean-atmosphere-ipma,0.413223155,1.905613556,2.436100835,2.85,3,eurogoos.eu
link.springer.com/article/10.1007/s12237-015-0057-x,0.458694393,1.000000012,1.995419318,2.85,1,link.springer.com
www.fao.org/docrep/009/a0337e/A0337E14.htm,0.334920565,1.000002468,1.035332128,2.85,2.5,www.fao.org
www.frontiersin.org/articles/10.3389/fmars.2018.00091,0.294101478,2.182150018,3.114772151,2.84,3,www.frontiersin.org
link.springer.com/article/10.1007/s12237-017-0238-x/fulltext.html,0.480761974,1.000000139,2.532514971,2.84,4,link.springer.com
www.frontiersin.org/articles/10.3389/fmars.2018.00105,0.436101402,3.999659758,3.652175621,2.84,4,www.frontiersin.org
academic.oup.com/icesjms/article/70/6/1263/638484,0.330575466,1.851990379,3.366401758,2.84,4,academic.oup.com
www.fao.org/docrep/meeting/009/j5032e.htm,0.404917195,1.919592955,3.264372118,2.84,4,www.fao.org
academic.oup.com/icesjms/article/70/6/1181/636413,0.398241836,2.000478102,3.226817254,2.84,4,academic.oup.com
www.wmo.int/pages/prog/www/tcp/documents/DOC.5.1_MET_COMPONENT_ptc41.doc,0.362215953,2.001192259,2.782861044,2.84,4,www.wmo.int
www.frontiersin.org/articles/10.3389/fmars.2018.00089,0.451487199,2,3.716838353,2.83,4,www.frontiersin.org
academic.oup.com/icesjms/advance-article/doi/10.1093/icesjms/fsy022/4961487,0.329435972,2,1.823650474,2.83,3,academic.oup.com
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-OSDE1/documents/IPET-OSDE1-Doc-7.3.2(6)-SoG-Ocean.doc,0.349426516,4,3.995129668,2.83,2.5,www.wmo.int
academic.oup.com/mollus/article/84/1/12/4599939,0.409195909,1.999465663,3.460878226,2.83,4,academic.oup.com
www.fao.org/fishery/xml/facp/132/en,0.407642131,1.879640098,3.136530528,2.83,4,www.fao.org
www.wmo.int/pages/prog/www/OSY/Meetings/ET-EGOS_Geneva2007/Doc9-1.doc,0.403249663,3.999999883,2.938213091,2.83,2.5,www.wmo.int
eurogoos.eu/2015/03/17/ocean-technology-summer-school-6-10-july-univ-of-algarve,0.405839725,1.884203899,2.435652289,2.83,3,eurogoos.eu
eurogoos.eu/2015/02/19/hf-radar-special-session-egu-2015-vienna,0.412514324,1.863220405,2.403825759,2.83,3,eurogoos.eu
www.mdpi.com/2072-4292/10/1/14/htm,0.419663186,4,2.580093193,2.83,0,www.mdpi.com
academic.oup.com/icesjms/article/74/3/759/2447882,0.368180082,3.000000141,3.996779839,2.82,4,academic.oup.com
www.frontiersin.org/articles/10.3389/fmars.2017.00229,0.445022686,1.000000002,3.779166339,2.82,2.5,www.frontiersin.org
academic.oup.com/icesjms/article/69/9/1656/636674,0.402574384,1.999932407,2.649194774,2.82,4,academic.oup.com
eurogoos.eu/2015/06/22/6-job-opportunities-in-oceanography,0.421575758,1.53684197,2.579232378,2.82,3,eurogoos.eu
www.wmo.int/pages/prog/www/OSY/Meetings/ET-EGOS_Geneva2009/documents/ET-EGOS5-Doc-10.2-EGOS-IP-Action-Sheet.doc,0.435094961,4,2.52834125,2.82,1,www.wmo.int
eurogoos.eu/member/ifremer,0.411938468,1.786227462,2.295087834,2.82,3,eurogoos.eu
eurogoos.eu/2015/04/28/first-emodnet-open-conference-oostende-20-october,0.369405677,1.770141299,2.978362978,2.82,3,eurogoos.eu
www.mdpi.com/1424-8220/12/10/13583/htm,0.537550964,2.000008712,2.896500038,2.82,4,www.mdpi.com
eurogoos.eu/2015/02/05/job-opening-at-emodnet-secretariat,0.385758375,1.711936114,2.794661397,2.82,3,eurogoos.eu
www.wmo.int/pages/prog/www/WMOCodes/WMO306_vI2/LatestVERSION/WMO306_vI2_CommonTable_en.docx,0.524900784,4,1.001071283,2.82,2.5,www.wmo.int
eurogoos.eu/category/archive/page/7,0.384726905,1.938485512,2.31302833,2.81,3,eurogoos.eu
academic.oup.com/icesjms/article/74/7/1990/3958176,0.294368001,2.000000067,3.998859696,2.81,4,academic.oup.com
www.wmo.int/pages/prog/amp/mmop/jcomm_partnership_en.html,0.302529023,1.675883052,3.412620546,2.81,4,www.wmo.int
www.frontiersin.org/articles/10.3389/feart.2017.00011,0.447387636,2.000000009,2.93148314,2.81,1,www.frontiersin.org
www.wmo.int/pages/prog/amp/mmop/documents/JCOMM-TR/J-TR-SOT-ANN-2016/linkedfiles/SOT-9-Doc_8.2.2_Automation_FINAL_ONE.docx,0.403822704,1.000000524,2.484953783,2.81,4,www.wmo.int
www.wmo.int/pages/prog/amp/mmop/background.html,0.333012296,1.956483826,3.658562127,2.8,4,www.wmo.int
www.jamstec.go.jp/jcoml/c5news.html,0.290593612,2.002858021,3.428556269,2.8,3.5,www.jamstec.go.jp
academic.oup.com/icesjms/article/72/5/1285/759512,0.298660431,4,3.067402317,2.8,4,academic.oup.com
www.jamstec.go.jp/e/about/recruit,0.258816747,4,2.9964679,2.8,3,www.jamstec.go.jp
www.jamstec.go.jp/teams/e/project.html,0.32984435,1.992125328,2.856709437,2.8,3,www.jamstec.go.jp
www.frontiersin.org/articles/10.3389/fmars.2018.00092,0.427758545,1.999832676,3.313687334,2.8,4,www.frontiersin.org
www.mdpi.com/2220-9964/4/3/1569/htm,0.539651891,4,2.874645163,2.8,1,www.mdpi.com
www.wmo.int/pages/prog/www/ISS/Meetings/PIW-RA3_Asuncion2010/documents/doc511.doc,0.494953477,1.149222243,2.831366305,2.8,4,www.wmo.int
www.jamstec.go.jp/d_seg/e/seminar/2017.html,0.40730654,2.083765206,2.344548965,2.8,3,www.jamstec.go.jp
www.fao.org/fishery/facp/132/en,0.383361778,1.98703702,3.094633021,2.79,4,www.fao.org
