URLs,Co,NB,NN,RF,SV,domain,,,
www.frontiersin.org/articles/10.3389/fmars.2017.00017,0.314691438,2,3.017266938,2.47,3,www.frontiersin.org,,,
www.jamstec.go.jp/e/about/press_release/2016.html,0.34949547,2.000367665,2.28595672,2.47,4,www.jamstec.go.jp,,,
academic.oup.com/icesjms/article/72/3/741/2835882,0.301524729,2,3.954621598,2.46,4,academic.oup.com,,,
academic.oup.com/icesjms/article/72/3/1105/703182,0.303488489,2,3.184988971,2.45,3,academic.oup.com,,,
www.omicsonline.org/universities/University_of_Sao_Paulo,0.22423153,2.000008128,2.983605578,2.45,3,www.omicsonline.org,,,
academic.oup.com/conphys/article/2571254,0.354709372,2.000000007,3.996359162,2.45,4,academic.oup.com,,,
academic.oup.com/conphys/article/330048,0.403797679,2.001122682,2.316537564,2.44,2.5,academic.oup.com,,,
academic.oup.com/icesjms/article/69/2/331/698671,0.465415013,2.796874122,3.174934956,2.44,2.5,academic.oup.com,,,
www.omicsonline.org/scholarly/sea-grass-journals-articles-ppts-list.php,0.310610392,2,2.915544509,2.44,3,www.omicsonline.org,,,
academic.oup.com/jn/article/142/3/508/4630884,0.320157381,2.930117007,2.84436042,2.44,3,academic.oup.com,,,
www.frontiersin.org/articles/10.3389/fmars.2017.00006,0.26647402,2,3.222934383,2.43,3.5,www.frontiersin.org,,,
www.wmo.int/pages/prog/www/ISS/Meetings/IPET-DRMM_Geneva2016/Report/Report_IPET-DRMM-IV_Geneva_summary.docx,0.520184602,4,2.730116367,2.43,4,www.wmo.int,,,
www.frontiersin.org/articles/10.3389/fmars.2018.00090,0.564349636,2.000039651,2.782543769,2.42,3,www.frontiersin.org,,,
academic.oup.com/icesjms/CrossRef-CitedBy/595103,0.253889603,2.010599861,3.434057287,2.41,3.5,academic.oup.com,,,
academic.oup.com/icesjms/article/74/6/1660/3059823,0.496929347,4,2.796868554,2.41,4,academic.oup.com,,,
academic.oup.com/icesjms/article/74/3/660/2705983,0.363219585,2.999848149,2.514951239,2.41,2.5,academic.oup.com,,,
www.jamstec.go.jp/e/about/equipment/ships/yokosuka.html,0.35719596,2.000517522,2.51487281,2.4,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/www/Planning-Impl/RA-6/2008_Toulouse/Doc7-1(1)-WIGOS.doc,0.43435538,3.999999855,3.018698059,2.4,4,www.wmo.int,,,
academic.oup.com/icesjms/article/72/5/1576/781679,0.306346336,2.004688867,3.010045342,2.39,3,academic.oup.com,,,
www.wmo.int/pages/prog/www/OSY/Meetings/ET-EGOS_Geneva2012/documents/EGOS7-Doc-6.2-REV1-Climate-Space.doc,0.417981304,4,3.000007986,2.39,2.5,www.wmo.int,,,
www.jamstec.go.jp/res/ress/sugie,0.354649683,2.002759388,2.783000978,2.39,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/www/IMOP/meetings/MG-9/Doc-5-1(2)_CIMO-Guide_Sat.doc,0.451505827,4,2.248595168,2.39,4,www.wmo.int,,,
eurogoos.eu/category/current/page/8,0.392079977,2.005947455,2.554396225,2.39,3,eurogoos.eu,,,
www.wmo.int/pages/prog/www/tcp/documents/Doc4.2.2_Satellite.doc,0.420612149,2.999999999,2.886569753,2.38,2.5,www.wmo.int,,,
academic.oup.com/icesjms/article/72/3/1078/702518,0.277300727,2.000001513,3.9998212,2.37,4,academic.oup.com,,,
academic.oup.com/icesjms/article/72/3/851/2835888,0.280392506,2,3.327934694,2.36,3,academic.oup.com,,,
academic.oup.com/icesjms/article/64/9/1836/784141,0.443333596,3.999889493,3.018481033,2.35,4,academic.oup.com,,,
www.wmo.int/pages/prog/www/OSY/Meetings/ET-EGOS_Geneva2008/documents/Doc.4.2.1.doc,0.422141256,3.412837141,3.006116099,2.35,4,www.wmo.int,,,
academic.oup.com/icesjms/article/73/6/1632/2459122,0.32241571,2.999997155,2.936864873,2.35,4,academic.oup.com,,,
www.wmo.int/pages/prog/www/IMOP/meetings/ET-OpMet_2/CIMO_ET-OpMet-2-Doc_5.2_Process_for_becoming_RIC.docx,0.41537358,3.008105326,2.185611963,2.35,4,www.wmo.int,,,
www.frontiersin.org/articles/10.3389/fmars.2017.00307,0.305068095,2.013697001,2.88071798,2.34,3,www.frontiersin.org,,,
www.jamstec.go.jp/ceat/e/ieorg,0.384553749,3.999999998,3.413392793,2.33,3,www.jamstec.go.jp,,,
www.omicsonline.org/universities/Xiamen_University,0.345476183,2.000034878,2.654906375,2.33,3,www.omicsonline.org,,,
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS7/documents/ICT-IOS-7-Doc.6.6_ET-SUP.doc,0.461710488,2.000008818,2.468658807,2.33,2.5,www.wmo.int,,,
www.jamstec.go.jp/e/about/press_release/20090402,0.406197235,2.931120287,2.211665195,2.32,3,www.jamstec.go.jp,,,
academic.oup.com/conphys/article/3/1/cov034/2571255,0.230352908,2.000339777,3.247232656,2.31,3.5,academic.oup.com,,,
academic.oup.com/conphys/article/2571255,0.227096584,2.000331327,3.247232656,2.31,4,academic.oup.com,,,
academic.oup.com/icesjms/article/72/6/1834/921232,0.407687124,2.990171534,3.027046591,2.31,4,academic.oup.com,,,
www.jamstec.go.jp/e/about/equipment/ships/kairei.html,0.377964473,2.002825455,2.105989517,2.31,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/arep/wwrp/new/wwosc/Presentations_wwosc_20082014.html,0.305018128,2.002601551,2.014969436,2.31,3,www.wmo.int,,,
www.wmo.int/pages/prog/www/OSY/Meetings/IPET_WIFI_2_Geneva_2014/INF_4_ICG_WIGOS3.doc,0.562707796,3.99999997,2.875323619,2.29,2.5,www.wmo.int,,,
academic.oup.com/icesjms/article/73/2/451/2614313,0.291869513,3.999999997,3.258691634,2.29,4,academic.oup.com,,,
academic.oup.com/jn/article/143/2/161/4615226,0.264467705,2.004626484,3.002929922,2.29,3,academic.oup.com,,,
www.frontiersin.org/articles/10.3389/fmars.2018.00096,0.423767945,2.000000008,2.728666514,2.29,4,www.frontiersin.org,,,
www.mdpi.com/2220-9964/5/6/81/htm,0.401355375,4,3.000005077,2.28,3.5,www.mdpi.com,,,
academic.oup.com/mollus/advance-article/doi/10.1093/mollus/eyy002/4857214,0.335882553,2.000430113,2.871609122,2.28,3,academic.oup.com,,,
academic.oup.com/jn/article/145/5/931/4589990,0.242770455,2.011891693,3.079986051,2.27,3,academic.oup.com,,,
www.jamstec.go.jp/donet/e/about/publications.html,0.378385135,2.00017526,2.237559444,2.27,4,www.jamstec.go.jp,,,
www.omicsonline.org/conferencemain,0.260417001,2.000444689,2.155091916,2.27,3,www.omicsonline.org,,,
www.omicsonline.org/universities/Andhra_University,0.249973588,2,2.983417364,2.26,3,www.omicsonline.org,,,
www.wmo.int/pages/prog/www/OSY/Meetings/CBS-GCOS-LeadCentres_Geneva2009/Doc2.doc,0.404061018,2.149271988,2.565673003,2.26,2.5,www.wmo.int,,,
www.wmo.int/pages/prog/www/CBS-Reports/documents/FinalReport_v1_25Aprr2014_final-master.doc,0.284034881,2.054527082,2.760563291,2.26,3,www.wmo.int,,,
www.wmo.int/pages/prog/www/IMOP/meetings/Surface/ET-STMT-2/Doc.%207.1.doc,0.425481472,3.295294813,2.984438646,2.25,4,www.wmo.int,,,
www.fao.org/docrep/009/a0337e/A0337E16.htm,0.375733013,2,2.982672759,2.25,3,www.fao.org,,,
www.omicsonline.org/universities/Dalhousie_University,0.248309837,2.000000841,2.840295315,2.25,3,www.omicsonline.org,,,
www.jamstec.go.jp/e/about/press_release/20150423,0.362700843,2.005371087,2.803421253,2.25,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/www/tcp/Meetings/PTC-36/documents/Doc.5.1.doc,0.376762534,2.000032749,2.78603151,2.25,4,www.wmo.int,,,
www.data.gov/maritime,0.330861111,2.009211021,3.413718878,2.24,3.5,www.data.gov,,,
academic.oup.com/gigascience/article/7/4/giy012/4909814,0.301366222,2.000000001,3.009036999,2.24,3,academic.oup.com,,,
academic.oup.com/bjc/article/58/2/332/3092352,0.260424114,2,3.245274155,2.24,3,academic.oup.com,,,
www.jamstec.go.jp/e/about/equipment/ships/shinkai2000.html,0.344676892,2.003125071,2.695864231,2.24,3,www.jamstec.go.jp,,,
academic.oup.com/beheco/article/29/1/60/4555212,0.35794273,2.000085,2.428585847,2.23,3,academic.oup.com,,,
www.jamstec.go.jp/e/about/press_release/2013.html,0.386044016,2.013750879,2.263876047,2.23,3,www.jamstec.go.jp,,,
www.jamstec.go.jp/teams/e/kichiji/availability.html,0.317845947,2.032764866,2.88569265,2.22,4,www.jamstec.go.jp,,,
www.jamstec.go.jp/sugar/e/members/personal/JunichiMiyazaki.html,0.281682602,2.000056418,2.91360305,2.21,3,www.jamstec.go.jp,,,
www.omicsonline.org/universities/Michigan_State_University,0.274528803,3.958744625,2.927860963,2.21,3,www.omicsonline.org,,,
www.omicsonline.org/scholarly/bio-refinery-journals-articles-ppts-list.php,0.431435422,2.000002474,2.825020286,2.21,3,www.omicsonline.org,,,
academic.oup.com/icesjms/issue/75/1,0.211897298,2.001035906,3.388526654,2.2,3.5,academic.oup.com,,,
www.mdpi.com/1424-8220/16/1/53/htm,0.264708341,4,3.308403854,2.2,3,www.mdpi.com,,,
www.jamstec.go.jp/e/about/press_release/20110908,0.362049784,2.000575397,2.829641584,2.2,3,www.jamstec.go.jp,,,
www.omicsonline.org/universities/Jadavpur_University,0.247144214,2.01139843,2.657255117,2.2,3,www.omicsonline.org,,,
www.omicsonline.org/open-access/control-of-fusarium-dry-rot-incited-by-i-fusarium-oxysporum-f-sp-tuberosi-using-sargassum-vulgare-i-aqueous-and-organic-extracts-1948-5948-1000366-95371.html,0.343232664,2.999999985,2.219311548,2.2,2.5,www.omicsonline.org,,,
www.jamstec.go.jp/e/jamstec_news/20150607,0.338381685,2.013834175,2.178856624,2.2,3,www.jamstec.go.jp,,,
www.omicsonline.org/universities/University_of_Maryland,0.236984642,3.999882498,2.60680948,2.2,3,www.omicsonline.org,,,
www.wmo.int/pages/prog/www/OSY/Meetings/IPET-WIFI-SG-OD-1_2015/Final_Report_IPET-WIFI-SG-OD-1_final.docx,0.457861538,2.999938585,2.857794818,2.19,3.5,www.wmo.int,,,
www.omicsonline.org/universities/tehran-university,0.224501455,2.00082917,2.636556299,2.17,3,www.omicsonline.org,,,
www.omicsonline.org/universities/Hiroshima_University,0.257659596,2.001265739,2.620697541,2.17,3,www.omicsonline.org,,,
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/8_1_1_en_for_EdBd.docx,0.316583667,4,3.625085802,2.17,2.5,www.wmo.int,,,
www.omicsonline.org/scholarly/bone-marrow-stem-cell-transplant-journals-articles-ppts-list.php,0.327326835,2.000018612,2.654804184,2.17,2.5,www.omicsonline.org,,,
www.omicsonline.org/universities/Annamalai_University,0.252961717,2.000000001,2.981483631,2.16,3,www.omicsonline.org,,,
www.jamstec.go.jp/e/about/press_release/20110428,0.472455591,2.008976358,2.877437344,2.16,4,www.jamstec.go.jp,,,
www.mdpi.com/journal/algorithms/special_issues/Modeling_Computing,0.363480236,2.000629396,2.569447061,2.16,3,www.mdpi.com,,,
www.wmo.int/pages/prog/www/IMOP/meetings/CB/Ed-Board-2/EdBd-2_P-I_Ch-1.doc,0.340004475,4,3.837256222,2.16,2.5,www.wmo.int,,,
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/CIMO_EdBd_1_Doc_7_New_structure.docx,0.296520027,4,2.665723417,2.159337995,2.5,www.wmo.int,,,
www.mdpi.com/1424-8220/11/3/2885,0.309035023,2.48927114,3.105294834,2.15,3,www.mdpi.com,,,
www.wmo.int/pages/prog/www/IMOP/meetings/CB/ET-OpMet-1/Doc-7-1_CIMO-Guide_P-I_Ch-1_20151120.doc,0.345074287,4,3.69402369,2.14,2.5,www.wmo.int,,,
www.jamstec.go.jp/e/about/recruit/rcmb_20171020.html,0.325781009,2.000359691,2.796847953,2.14,3,www.jamstec.go.jp,,,
www.jamstec.go.jp/e/about/press_release/20130321,0.320766514,2.005239297,2.125976906,2.14,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/arep/cas/documents/CAS-MG_Doc2.4-THORPEX_ICSC_Annex.doc,0.271825264,2.000000249,2.777103947,2.14,3,www.wmo.int,,,
www.wmo.int/pages/prog/www/tcp/Meetings/PTC-35/documents/Doc6-Meteorological_Component.doc,0.458083604,2.00046225,2.614814278,2.14,4,www.wmo.int,,,
www.wmo.int/pages/prog/www/WIGOS-WIS/reports/TT-WRM-1_Final_Report_Geneva_2012.doc,0.453632354,4,2.787238034,2.13,3.5,www.wmo.int,,,
www.mdpi.com/2072-4292/9/7/734/htm,0.474312005,4,2.874463871,2.12,2.5,www.mdpi.com,,,
www.omicsonline.org/universities/Harvard_University,0.345983285,2.999108725,2.614451352,2.12,3,www.omicsonline.org,,,
www.mdpi.com/2220-9964/4/3/1076/htm,0.34456515,4,2.997465188,2.12,3,www.mdpi.com,,,
www.wmo.int/pages/prog/www/IMOP/publications/IOM-104_TECO-2010/P4_5_Issara_Morocco.pptx,0.503952631,2.000675028,2.568539482,2.110666667,4,www.wmo.int,,,
www.jamstec.go.jp/e/about/press_release/20091009,0.538970243,2.006697884,2.999171097,2.11,4,www.jamstec.go.jp,,,
www.mdpi.com/1424-8220/15/10/26726/htm,0.384012289,3.000283397,2.922947583,2.11,3,www.mdpi.com,,,
www.mdpi.com/1424-8220/17/7/1649/html,0.426354159,4,2.990346768,2.11,2.5,www.mdpi.com,,,
www.mdpi.com/2072-4292/10/1/94/htm,0.518267489,2.035241384,2.486151746,2.11,2.5,www.mdpi.com,,,
www.wmo.int/pages/prog/www/ISS/Meetings/ICG-WIS_Seoul2010/Doc3-1-2-JCOMM.doc,0.349631684,2.999991662,3.71477518,2.09,4,www.wmo.int,,,
www.jamstec.go.jp/e/about/press_release/20161011_2,0.387991797,2.004879933,2.612949027,2.09,3,www.jamstec.go.jp,,,
www.mdpi.com/1424-8220/16/4/566/html,0.347872092,4,2.941886339,2.09,3,www.mdpi.com,,,
www.jamstec.go.jp/e/whatsnew/2011.html,0.221523634,2,2.857710178,2.09,3,www.jamstec.go.jp,,,
www.jamstec.go.jp/e/about/press_release/1999/19990901,0.320871235,4,2.937068579,2.08,4,www.jamstec.go.jp,,,
www.mdpi.com/journal/ijgi/special_issues/mathematical_morphology,0.477100393,2.00002433,2.204032635,2.08,3,www.mdpi.com,,,
www.mdpi.com/2075-4450/8/4/123/htm,0.40000526,2.999971277,3.299854522,2.07,2.5,www.mdpi.com,,,
www.omicsonline.org/universities/central-university,0.259595622,2.000845775,2.814348594,2.07,3,www.omicsonline.org,,,
www.mdpi.com/2220-9964/4/2/942/htm,0.280891146,2.002557631,2.245758876,2.07,3,www.mdpi.com,,,
www.frontiersin.org/research-topics/4042,0.332805489,2.001019575,2.56666324,2.06,3,www.frontiersin.org,,,
www.mdpi.com/1424-8220/15/7/16674,0.3086067,2.249715866,3.499551622,2.055714286,3,www.mdpi.com,,,
www.wmo.int/pages/prog/sat/meetings/linkedfiles/Guide-to-DBNet-2015-03-13.docx,0.354949056,3.019388693,2.942676948,2.051226995,3.5,www.wmo.int,,,
www.wmo.int/pages/prog/www/WIGOS-WIS/reports/TT-WRM-2_Final-Report_Geneva_2013.doc,0.460723218,4,2.825031551,2.05,4,www.wmo.int,,,
www.mdpi.com/2075-4450/8/4/108/htm,0.372677996,2.003988948,2.30330934,2.05,3,www.mdpi.com,,,
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/8_I_16_en_for_EdBd.docx,0.483111917,4,3.799931929,2.05,2.5,www.wmo.int,,,
www.mdpi.com/1424-8220/15/10/26331/htm,0.2769403,3,3.704812592,2.05,3,www.mdpi.com,,,
www.mdpi.com/1424-8220/16/10/1595/htm,0.310657899,2.999892254,3.272576664,2.05,3,www.mdpi.com,,,
www.mdpi.com/1424-8220/12/12/17168/htm,0.418014758,4,2.812778845,2.05,2.5,www.mdpi.com,,,
www.mdpi.com/1424-8220/12/12/17168/html,0.418014758,4,2.812778845,2.05,2.5,www.mdpi.com,,,
www.jamstec.go.jp/e/whatsnew/2013.html,0.214682922,2.000013388,2.752473676,2.05,3,www.jamstec.go.jp,,,
www.jamstec.go.jp/biogeos/e/xbr/sugar/Member/Nunoura.html,0.40293326,2.15686868,2.689014217,2.05,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/www/IMOP/reports/2012/CIMO-MG-10-Final-Report.doc,0.454583878,4,2.016401348,2.05,2.5,www.wmo.int,,,
www.fao.org/DOCREP/004/X3331E/X3331E01.htm,0.381940167,3.386723107,3.194911673,2.043846154,2.5,www.fao.org,,,
www.mdpi.com/1424-8220/16/5/710/htm,0.345512993,3.000001231,3.00012861,2.04,4,www.mdpi.com,,,
www.wmo.int/pages/prog/arep/wwrp/new/linkedfiles/DAOS_WWRP_Report_to_SSC_2016_v1.pptx,0.356674166,4,2.814103263,2.04,3,www.wmo.int,,,
www.frontiersin.org/articles/10.3389/feart.2017.00048,0.366750319,4,3.555094506,2.03,4,www.frontiersin.org,,,
www.mdpi.com/2072-666X/9/3/117/xml,0.448906888,3,2.95847919,2.03,3,www.mdpi.com,,,
www.wmo.int/pages/prog/www/IMOP/meetings/EdBd-1/8_IV_4_en_for_EdBd.docx,0.350198616,4,3.988110217,2.03,2.5,www.wmo.int,,,
academic.oup.com/carcin/CrossRef-CitedBy/2476647,0.278269311,3.999252496,3.046197467,2.03,3,academic.oup.com,,,
www.mdpi.com/1424-8220/12/11,0.372224067,4,3.038442682,2.03,3,www.mdpi.com,,,
www.wmo.int/pages/prog/www/OSY/Meetings/ICT-IOS7/documents/ICT-IOS-7-Doc.4(6)_StatusReport-RAVI.doc,0.419236544,2.000534156,2.77709136,2.03,4,www.wmo.int,,,
www.jamstec.go.jp/e/about/press_release/2008.html,0.252846837,2.000242694,2.366605321,2.03,3,www.jamstec.go.jp,,,
www.mdpi.com/1424-8220/14/5/7684/htm,0.274104675,4,3.036360405,2.02,2.5,www.mdpi.com,,,
www.omicsonline.org/scholarly/qualitative-research-journals-articles-ppts-list.php,0.231857611,2,2.979830557,2.02,3,www.omicsonline.org,,,
www.mdpi.com/1424-8220/9/11/8562/html,0.360999341,3.000000008,2.651370252,2.02,3,www.mdpi.com,,,
www.mdpi.com/1424-8220/15/12/29899/htm,0.357030092,3.999999981,3.000514067,2.01,4,www.mdpi.com,,,
www.mdpi.com/2311-5637/3/2/25,0.332392155,2.00041821,2.946676371,2.01,3,www.mdpi.com,,,
www.jamstec.go.jp/e/about/press_release/20110201,0.315071792,2.00082634,2.809573146,2.01,3,www.jamstec.go.jp,,,
www.jamstec.go.jp/e/about/press_release/20160826,0.341092107,2.012023833,2.685985577,2.01,3,www.jamstec.go.jp,,,
www.wmo.int/pages/prog/www/IMOP/meetings/ET-OpMet_2/CIMO_ET-OpMet_Doc_7(8)_Update_of_Part_IV_Chapter_4_Testing_Calibration_and_intercomparison.docx,0.365908403,3.999999999,3.979844314,2,2.5,www.wmo.int,,,
www.mdpi.com/1424-8220/17/3/487/htm,0.252901939,2.999362511,3.753321362,2,3,www.mdpi.com,,,
www.jamstec.go.jp/e/about/press_release/20161130,0.419592437,2.000266414,2.980177292,2,3,www.jamstec.go.jp,,,
www.mdpi.com/1424-8220/17/8/1851,0.281718085,2.001167538,2.914894007,2,3,www.mdpi.com,,,
www.mdpi.com/1424-8220/17/8/1851/xml,0.281718085,2.001167538,2.914894007,2,3,www.mdpi.com,,,